billno,chamber,member,vote,points
HB407,House,Alexander,Y,3
HB407,House,Aloupis,Y,3
HB407,House,Altman,Y,3
HB407,House,Andrade,Y,3
HB407,House,Antone,Y,3
HB407,House,Ausley,Y,3
HB407,House,Avila,Y,3
HB407,House,Bell,Y,3
HB407,House,Beltran,Y,3
HB407,House,Brannan,Y,3
HB407,House,Brown,Y,3
HB407,House,Buchanan,Y,3
HB407,House,Burton,Y,3
HB407,House,Bush,Y,3
HB407,House,Byrd,Y,3
HB407,House,Caruso,Y,3
HB407,House,Casello,Y,3
HB407,House,Clemons,Y,3
HB407,House,"Cortes, J.",Y,3
HB407,House,Cummings,Y,3
HB407,House,Daniels,Y,3
HB407,House,Davis,Y,3
HB407,House,Diamond,Y,3
HB407,House,DiCeglie,Y,3
HB407,House,Donalds,Y,3
HB407,House,Drake,Y,3
HB407,House,Driskell,Y,3
HB407,House,DuBose,Y,3
HB407,House,Duggan,Y,3
HB407,House,Duran,Y,3
HB407,House,Eagle,Y,3
HB407,House,Eskamani,Y,3
HB407,House,Fernández,-,0
HB407,House,Fernandez-Barquin,Y,3
HB407,House,Fetterhoff,Y,3
HB407,House,Fine,Y,3
HB407,House,Fischer,Y,3
HB407,House,Fitzenhagen,Y,3
HB407,House,Geller,Y,3
HB407,House,Goff-Marcil,Y,3
HB407,House,Good,Y,3
HB407,House,Gottlieb,Y,3
HB407,House,Grall,-,0
HB407,House,"Grant, J.",Y,3
HB407,House,"Grant, M.",Y,3
HB407,House,Gregory,Y,3
HB407,House,Grieco,Y,3
HB407,House,Hage,Y,3
HB407,House,Hart,Y,3
HB407,House,Hattersley,Y,3
HB407,House,Hill,Y,3
HB407,House,Hogan Johnson,Y,3
HB407,House,Ingoglia,Y,3
HB407,House,Jacobs,Y,3
HB407,House,Jacquet,Y,3
HB407,House,Jenne,Y,3
HB407,House,Jones,Y,3
HB407,House,Joseph,Y,3
HB407,House,Killebrew,Y,3
HB407,House,La Rosa,Y,3
HB407,House,LaMarca,Y,3
HB407,House,Latvala,Y,3
HB407,House,Leek,Y,3
HB407,House,Magar,Y,3
HB407,House,Mariano,Y,3
HB407,House,Massullo,Y,3
HB407,House,McClain,Y,3
HB407,House,McClure,Y,3
HB407,House,McGhee,Y,3
HB407,House,Mercado,Y,3
HB407,House,Newton,Y,3
HB407,House,Oliva,Y,3
HB407,House,Omphroy,Y,3
HB407,House,Overdorf,Y,3
HB407,House,Payne,Y,3
HB407,House,Perez,Y,3
HB407,House,Pigman,Y,3
HB407,House,Plakon,Y,3
HB407,House,Plasencia,Y,3
HB407,House,Polo,Y,3
HB407,House,Polsky,Y,3
HB407,House,Ponder,Y,3
HB407,House,Pritchett,Y,3
HB407,House,Raschein,Y,3
HB407,House,Renner,Y,3
HB407,House,Roach,Y,3
HB407,House,Robinson,Y,3
HB407,House,"Rodrigues, R.",Y,3
HB407,House,"Rodriguez, A.",Y,3
HB407,House,"Rodriguez, A. M.",Y,3
HB407,House,Rommel,Y,3
HB407,House,Roth,Y,3
HB407,House,Sabatini,Y,3
HB407,House,Santiago,Y,3
HB407,House,Silvers,Y,3
HB407,House,Sirois,Y,3
HB407,House,Slosberg,Y,3
HB407,House,"Smith, C.",Y,3
HB407,House,"Smith, D.",Y,3
HB407,House,Sprowls,Y,3
HB407,House,Stark,Y,3
HB407,House,Stevenson,Y,3
HB407,House,Stone,Y,3
HB407,House,Sullivan,Y,3
HB407,House,Thompson,Y,3
HB407,House,Toledo,-,0
HB407,House,Tomkow,Y,3
HB407,House,Trumbull,Y,3
HB407,House,Vacant,-,0
HB407,House,Vacant,-,0
HB407,House,Vacant,-,0
HB407,House,Valdes,Y,3
HB407,House,"Watson, B.",Y,3
HB407,House,"Watson, C.",Y,3
HB407,House,Webb,Y,3
HB407,House,Willhite,Y,3
HB407,House,Williams,Y,3
HB407,House,Williamson,Y,3
HB407,House,Yarborough,Y,3
HB407,House,Zika,Y,3
HB759,House,Alexander,Y,3
HB759,House,Aloupis,Y,3
HB759,House,Altman,Y,3
HB759,House,Andrade,Y,3
HB759,House,Antone,Y,3
HB759,House,Ausley,Y,3
HB759,House,Avila,-,0
HB759,House,Bell,Y,3
HB759,House,Beltran,Y,3
HB759,House,Brannan,Y,3
HB759,House,Brown,Y,3
HB759,House,Buchanan,Y,3
HB759,House,Burton,Y,3
HB759,House,Bush,Y,3
HB759,House,Byrd,Y,3
HB759,House,Caruso,Y,3
HB759,House,Casello,Y,3
HB759,House,Clemons,Y,3
HB759,House,"Cortes, J.",Y,3
HB759,House,Cummings,Y,3
HB759,House,Daniels,Y,3
HB759,House,Davis,Y,3
HB759,House,Diamond,Y,3
HB759,House,DiCeglie,Y,3
HB759,House,Donalds,Y,3
HB759,House,Drake,Y,3
HB759,House,Driskell,Y,3
HB759,House,DuBose,Y,3
HB759,House,Duggan,Y,3
HB759,House,Duran,Y,3
HB759,House,Eagle,Y,3
HB759,House,Eskamani,Y,3
HB759,House,Fernández,Y,3
HB759,House,Fernandez-Barquin,Y,3
HB759,House,Fetterhoff,Y,3
HB759,House,Fine,Y,3
HB759,House,Fischer,Y,3
HB759,House,Fitzenhagen,Y,3
HB759,House,Geller,Y,3
HB759,House,Goff-Marcil,Y,3
HB759,House,Good,Y,3
HB759,House,Gottlieb,Y,3
HB759,House,Grall,N,-3
HB759,House,"Grant, J.",Y,3
HB759,House,"Grant, M.",Y,3
HB759,House,Gregory,Y,3
HB759,House,Grieco,Y,3
HB759,House,Hage,Y,3
HB759,House,Hart,Y,3
HB759,House,Hattersley,Y,3
HB759,House,Hill,Y,3
HB759,House,Hogan Johnson,Y,3
HB759,House,Ingoglia,Y,3
HB759,House,Jacobs,Y,3
HB759,House,Jacquet,Y,3
HB759,House,Jenne,Y,3
HB759,House,Jones,Y,3
HB759,House,Joseph,Y,3
HB759,House,Killebrew,Y,3
HB759,House,La Rosa,Y,3
HB759,House,LaMarca,Y,3
HB759,House,Latvala,Y,3
HB759,House,Leek,Y,3
HB759,House,Magar,Y,3
HB759,House,Mariano,Y,3
HB759,House,Massullo,Y,3
HB759,House,McClain,Y,3
HB759,House,McClure,Y,3
HB759,House,McGhee,Y,3
HB759,House,Mercado,Y,3
HB759,House,Newton,Y,3
HB759,House,Oliva,Y,3
HB759,House,Omphroy,Y,3
HB759,House,Overdorf,Y,3
HB759,House,Payne,Y,3
HB759,House,Perez,Y,3
HB759,House,Pigman,Y,3
HB759,House,Plakon,Y,3
HB759,House,Plasencia,Y,3
HB759,House,Polo,Y,3
HB759,House,Polsky,Y,3
HB759,House,Ponder,Y,3
HB759,House,Pritchett,Y,3
HB759,House,Raschein,Y,3
HB759,House,Renner,Y,3
HB759,House,Roach,Y,3
HB759,House,Robinson,Y,3
HB759,House,"Rodrigues, R.",Y,3
HB759,House,"Rodriguez, A.",Y,3
HB759,House,"Rodriguez, A. M.",Y,3
HB759,House,Rommel,Y,3
HB759,House,Roth,Y,3
HB759,House,Sabatini,Y,3
HB759,House,Santiago,Y,3
HB759,House,Silvers,Y,3
HB759,House,Sirois,Y,3
HB759,House,Slosberg,-,0
HB759,House,"Smith, C.",Y,3
HB759,House,"Smith, D.",Y,3
HB759,House,Sprowls,Y,3
HB759,House,Stark,Y,3
HB759,House,Stevenson,Y,3
